Sum of EV_Sales_Quantity,Column Labels,,,,,,,,,,,,,
Row Labels,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Grand Total,,
Andaman & Nicobar Island,0,0,0,0,20,2,36,92,23,26,3,202,,
Grand Total,0,0,0,0,20,2,36,92,23,26,3,202,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Row Labels,Count of Vehicle_Type,,,,,,,,,,,,,
2-Wheelers,13121,,,,,,,,,,,,,
3-Wheelers,11491,,,,,,,,,,,,,
4-Wheelers,8691,,,,,,,,,,,,,
Bus,9119,,,,,,,,,,,,,
Others,54423,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,
Grand Total,96845,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Row Labels,Sum of EV_Sales_Quantity,,,,,,,,,,,,,
2014,2392,,,,,,,,,,,,,
2015,7805,,,,,Row Labels,Sum of EV_Sales_Quantity,,,,,,,
2016,49855,,,,,2014,2392,,,,,,Year,Sum of EV_Sales_Quantity
2017,87420,,,,,2015,7805,,,,,,2014,2392
2018,130254,,,,,2016,49855,,,,,,2015,7805
2019,166819,,,,,2017,87420,,,,,,2016,49855
2020,124684,,,,,2018,130254,,,,,,2017,87420
2021,331498,,,,,2019,166819,,,,,,2018,130254
2022,1024723,,,,,2020,124684,,,,,,2019,166819
2023,1525179,,,,,2021,331498,,,,,,2020,124684
2024,143182,,,,,2022,1024723,,,,,,2021,331498
(blank),,,,,,2023,1525179,,,,,,2022,1024723
Grand Total,3593811,,,,,2024,143182,,,,,,2023,1525179
,,,,,,(blank),,,,,,,,
,,,,,,Grand Total,3593811,,,,,,,
